"B","Name","Score","Dup","Pad","Ph","Https","Path"
"299","9-nine- 九次九日九重色.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次299\9-nine- 九次九日九重色.md"
"299","9-nine- 天色天歌天籁音.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次299\9-nine- 天色天歌天籁音.md"
"298","FLOWERS 秋篇.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次298\FLOWERS 秋篇.md"
"298","FLOWERS 夏篇.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次298\FLOWERS 夏篇.md"
"298","FLOWERS 春篇.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次298\FLOWERS 春篇.md"
"295","夕阳染红的坡道.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次295\夕阳染红的坡道.md"
"295","任性High Spec.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次295\任性High Spec.md"
"299","9-nine- 雪色雪花雪余痕.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次299\9-nine- 雪色雪花雪余痕.md"
"295","姐名 (Aneiro).md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次295\姐名 (Aneiro).md"
"299","9-nine- 春色春恋春熙风.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次299\9-nine- 春色春恋春熙风.md"
"297","Cross Days.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次297\Cross Days.md"
"298","FLOWERS 冬篇.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次298\FLOWERS 冬篇.md"
"297","壳之少女.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次297\壳之少女.md"
"297","虚之少女.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次297\虚之少女.md"
"297","天之少女.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次297\天之少女.md"
"295","辻堂山的纯爱之路.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次295\辻堂山的纯爱之路.md"
"295","恋爱0公里.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次295\恋爱0公里.md"
"296","School Days.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次296\School Days.md"
"296","天津罪.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次296\天津罪.md"
"296","Shiny Days.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次296\Shiny Days.md"
"300","HaremKingdom.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次300\HaremKingdom.md"
"294","大哥哥，吻我！！.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次294\大哥哥，吻我！！.md"
"300","近月少女的礼仪.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次300\近月少女的礼仪.md"
"300","少女理论及其周边.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次300\少女理论及其周边.md"
"300","Sugar  Style.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次300\Sugar  Style.md"
"299","MakingLovers.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次299\MakingLovers.md"
"294","遥仰凰华.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次294\遥仰凰华.md"
"294","母娘乱馆.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次294\母娘乱馆.md"
"294","媚肉之香.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次294\媚肉之香.md"
"294","姐姐，要好好做哦！ 2.md","195","51","0","31","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次294\姐姐，要好好做哦！ 2.md"
"297","恋狱月狂病 (Cartagra).md","192","51","0","30","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次297\恋狱月狂病 (Cartagra).md"
"296","幸福噩梦 (Hapymaher).md","192","51","0","30","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次296\幸福噩梦 (Hapymaher).md"
"300","Fureraba ~Friend to Lover~.md","192","51","0","30","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次300\Fureraba ~Friend to Lover~.md"
"298","高加索之南 (Caucasus).md","192","51","0","30","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次298\高加索之南 (Caucasus).md"
"296","重生萝莉岛 (Teaching Feeling).md","192","51","0","30","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次296\重生萝莉岛 (Teaching Feeling).md"
"276","Remember11 -The Age of Infinity-.md","183","0","0","61","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次276\Remember11 -The Age of Infinity-.md"
"276","Never7 -The End of Infinity-.md","183","0","0","61","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次276\Never7 -The End of Infinity-.md"
"276","Ever17 -The Out of Infinity-.md","180","0","0","60","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次276\Ever17 -The Out of Infinity-.md"
"275","命运石之门－ 比翼恋理的爱人.md","180","0","0","60","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次275\命运石之门－ 比翼恋理的爱人.md"
"275","Chaos;Child.md","168","0","0","56","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次275\Chaos;Child.md"
"276","Robotics;Notes.md","168","0","0","56","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次276\Robotics;Notes.md"
"276","YU-NO 在这世界尽头咏唱爱的少女.md","168","0","0","56","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次276\YU-NO 在这世界尽头咏唱爱的少女.md"
"275","命运石之门0 (Steins;Gate 0).md","165","0","0","55","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次275\命运石之门0 (Steins;Gate 0).md"
"275","Chaos;Head Noah.md","165","0","0","55","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次275\Chaos;Head Noah.md"
"237","黑兽帝国终焉-女神苏醒.md","144","72","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次237\黑兽帝国终焉-女神苏醒.md"
"223","黑兽-佣兵堕落.md","135","0","27","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次223\黑兽-佣兵堕落.md"
"237","黑兽帝国终焉-公主军团.md","132","66","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次237\黑兽帝国终焉-公主军团.md"
"275","命运石之门 (Steins;Gate).md","120","0","0","40","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次275\命运石之门 (Steins;Gate).md"
"227","钢铁魔女安妮罗泽-堕落魔女.md","120","60","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次227\钢铁魔女安妮罗泽-堕落魔女.md"
"215","失落的方舟－Lost Ark－.md","105","18","0","23","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次215\失落的方舟－Lost Ark－.md"
"265","爱嬢学园-贵族入学.md","104","2","20","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次265\爱嬢学园-贵族入学.md"
"227","钢铁魔女安妮罗泽-触手侵袭.md","104","52","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次227\钢铁魔女安妮罗泽-触手侵袭.md"
"215","假面骑士Kabuto.md","102","18","0","22","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次215\假面骑士Kabuto.md"
"215","假面骑士电王.md","102","18","0","22","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次215\假面骑士电王.md"
"215","王者荣耀（背景故事）.md","102","18","0","22","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次215\王者荣耀（背景故事）.md"
"265","剑星-地下遗迹.md","100","0","20","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次265\剑星-地下遗迹.md"
"265","爱嬢学园-羞耻课程.md","100","0","20","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次265\爱嬢学园-羞耻课程.md"
"208","午夜凶铃（日版）.md","100","50","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次208\午夜凶铃（日版）.md"
"266","民俗-赶尸匠.md","100","0","20","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次266\民俗-赶尸匠.md"
"266","痴漢電車-早高峰.md","100","0","20","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次266\痴漢電車-早高峰.md"
"228","我有一座冒险屋（漫画－改编）.md","100","50","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次228\我有一座冒险屋（漫画－改编）.md"
"266","石世界-科学王国.md","100","0","20","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次266\石世界-科学王国.md"
"266","爱嬢学园-毕业典礼.md","100","0","20","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次266\爱嬢学园-毕业典礼.md"
"270","石世界-觉醒黎明.md","99","12","0","25","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次270\石世界-觉醒黎明.md"
"227","虚构推理（漫画）.md","96","48","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次227\虚构推理（漫画）.md"
"237","黑兽帝国终焉-阿丽西亚觉醒.md","96","48","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次237\黑兽帝国终焉-阿丽西亚觉醒.md"
"266","命运石之门-D-Mail干涉.md","95","0","19","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次266\命运石之门-D-Mail干涉.md"
"223","黑兽-侍从双堕.md","95","0","19","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次223\黑兽-侍从双堕.md"
"221","装甲骑女伊莉丝-双堕深渊.md","94","47","0","0","5","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次221\装甲骑女伊莉丝-双堕深渊.md"
"271","Little Busters!.md","94","11","0","24","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次271\Little Busters!.md"
"289","兰斯5D－ 孤独的少女.md","94","38","0","6","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次289\兰斯5D－ 孤独的少女.md"
"208","假面骑士V3.md","92","46","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次208\假面骑士V3.md"
"222","装甲骑女伊莉丝-堕落魔将.md","92","46","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次222\装甲骑女伊莉丝-堕落魔将.md"
"215","假面骑士响鬼.md","89","16","0","19","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次215\假面骑士响鬼.md"
"271","Rewrite.md","88","11","0","22","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次271\Rewrite.md"
"271","Little Busters! Ecstasy (EX).md","88","11","0","22","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次271\Little Busters! Ecstasy (EX).md"
"271","AIR (鸟之诗).md","88","11","0","22","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次271\AIR (鸟之诗).md"
"291","学校圣域.md","85","30","2","5","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次291\学校圣域.md"
"289","兰斯VI－ 赛斯崩坏.md","85","38","0","3","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次289\兰斯VI－ 赛斯崩坏.md"
"226","约会大作战V（如按动画续作口径）.md","84","24","0","12","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次226\约会大作战V（如按动画续作口径）.md"
"226","对魔忍紫-三代同堕.md","84","24","0","12","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次226\对魔忍紫-三代同堕.md"
"270","CLANNAD－ Side Stories (光见守的坡道).md","83","10","0","21","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次270\CLANNAD－ Side Stories (光见守的坡道).md"
"270","智代后记 (Tomoyo After－ It's a Wonderful Life).md","83","10","0","21","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次270\智代后记 (Tomoyo After－ It's a Wonderful Life).md"
"270","Kanon (雪之少女).md","83","10","0","21","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次270\Kanon (雪之少女).md"
"291","茜色圣域.md","82","30","2","4","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次291\茜色圣域.md"
"271","Kud Wafter.md","80","10","0","20","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次271\Kud Wafter.md"
"226","对魔忍阿莎姬3-完全堕落.md","80","22","0","12","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次226\对魔忍阿莎姬3-完全堕落.md"
"265","受胎岛-逃脱失败.md","79","2","15","0","2","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次265\受胎岛-逃脱失败.md"
"221","装甲骑女伊莉丝-魔铠融合.md","78","39","0","0","5","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次221\装甲骑女伊莉丝-魔铠融合.md"
"210","假面骑士Super-1.md","78","39","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次210\假面骑士Super-1.md"
"248","钢铁魔女虚空战争-新世界.md","77","31","0","5","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次248\钢铁魔女虚空战争-新世界.md"
"226","对魔忍阿莎姬2-再次沦陷.md","77","22","0","11","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次226\对魔忍阿莎姬2-再次沦陷.md"
"239","黑兽魔王觉醒-女神堕落.md","76","32","0","4","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次239\黑兽魔王觉醒-女神堕落.md"
"291","妹的圣域.md","76","27","2","4","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次291\妹的圣域.md"
"247","钢铁魔女虚空战争-维度崩塌.md","76","32","0","4","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次247\钢铁魔女虚空战争-维度崩塌.md"
"247","钢铁魔女虚空战争-虚空之心.md","76","32","0","4","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次247\钢铁魔女虚空战争-虚空之心.md"
"289","兰斯IV － 4.1 － 4.2.md","74","37","0","0","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次289\兰斯IV － 4.1 － 4.2.md"
"247","钢铁魔女虚空战争-协会沦陷.md","74","31","0","4","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次247\钢铁魔女虚空战争-协会沦陷.md"
"221","装甲骑女伊莉丝-妹妹援救.md","74","37","0","0","5","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次221\装甲骑女伊莉丝-妹妹援救.md"
"210","神兵玄奇.md","74","37","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次210\神兵玄奇.md"
"226","对魔忍阿莎姬-竞技场.md","73","20","0","11","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次226\对魔忍阿莎姬-竞技场.md"
"242","魔界骑士深渊大门-牺牲之门.md","70","35","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次242\魔界骑士深渊大门-牺牲之门.md"
"227","虚构推理（动画）.md","70","35","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次227\虚构推理（动画）.md"
"252","姫骑士莉莉亚-侍女沦陷.md","68","34","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次252\姫骑士莉莉亚-侍女沦陷.md"
"242","民俗-酆都鬼城.md","68","34","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次242\民俗-酆都鬼城.md"
"252","姫骑士莉莉亚-公主陷落.md","68","34","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次252\姫骑士莉莉亚-公主陷落.md"
"247","钢铁魔女虚空战争-最后的魔女.md","68","28","0","4","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次247\钢铁魔女虚空战争-最后的魔女.md"
"289","兰斯03－ 利萨斯陷落 (重制版).md","68","34","0","0","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次289\兰斯03－ 利萨斯陷落 (重制版).md"
"289","兰斯02－ 反叛的少女们 (重制版).md","68","34","0","0","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次289\兰斯02－ 反叛的少女们 (重制版).md"
"230","民俗-黄泉接引.md","66","33","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次230\民俗-黄泉接引.md"
"230","民俗-百鬼夜市.md","64","32","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次230\民俗-百鬼夜市.md"
"252","姫骑士莉莉亚-主仆双堕.md","64","32","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次252\姫骑士莉莉亚-主仆双堕.md"
"236","対魔忍RPG-最终决战.md","63","30","0","1","6","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次236\対魔忍RPG-最终决战.md"
"212","假面骑士J.md","63","27","0","3","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次212\假面骑士J.md"
"210","天子传说（天子传奇）.md","62","31","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次210\天子传说（天子传奇）.md"
"253","淫妖虫-蝕变.md","62","31","0","0","2","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次253\淫妖虫-蝕变.md"
"254","淫妖虫-完全寄生.md","62","31","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次254\淫妖虫-完全寄生.md"
"236","黑兽帝国终焉-帝国建立.md","60","30","0","0","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次236\黑兽帝国终焉-帝国建立.md"
"253","淫妖虫-产卵.md","60","30","0","0","3","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次253\淫妖虫-产卵.md"
"236","黑兽帝国终焉-神格降临.md","60","30","0","0","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次236\黑兽帝国终焉-神格降临.md"
"247","钢铁魔女虚空战争-魔女狩猎.md","60","24","0","4","4","C:\Users\Administrator\Desktop\前端卡\files\世界详情工坊\产出\批次247\钢铁魔女虚空战争-魔女狩猎.md"
